2theta_deg,relative_intensity_au,sample
57.94117647,62.5,Granite Waste
58.11764706,62.5,Granite Waste
58.29411765,62.5,Granite Waste
58.47058824,125,Granite Waste
58.64705882,250,Granite Waste
58.82352941,62.5,Granite Waste
59,0,Granite Waste
59.17647059,0,Granite Waste
59.35294118,0,Granite Waste
59.52941176,0,Granite Waste
59.70588235,0,Granite Waste
59.88235294,0,Granite Waste
60.05882353,0,Granite Waste
60.23529412,0,Granite Waste
60.41176471,62.5,Granite Waste
60.58823529,125,Granite Waste
60.76470588,62.5,Granite Waste
60.94117647,0,Granite Waste
61.11764706,0,Granite Waste
61.29411765,0,Granite Waste
61.47058824,31.25,Granite Waste
61.64705882,62.5,Granite Waste
61.82352941,62.5,Granite Waste
62,62.5,Granite Waste
62.17647059,62.5,Granite Waste
62.35294118,62.5,Granite Waste
62.52941176,62.5,Granite Waste
62.70588235,62.5,Granite Waste
62.88235294,62.5,Granite Waste
63.05882353,62.5,Granite Waste
63.23529412,0,Granite Waste
63.41176471,62.5,Granite Waste
63.58823529,62.5,Granite Waste
63.76470588,62.5,Granite Waste
63.94117647,62.5,Granite Waste
64.11764706,0,Granite Waste
64.29411765,0,Granite Waste
64.47058824,62.5,Granite Waste
64.64705882,62.5,Granite Waste
64.82352941,0,Granite Waste
65,0,Granite Waste
65.17647059,0,Granite Waste
65.35294118,0,Granite Waste
65.52941176,62.5,Granite Waste
65.70588235,0,Granite Waste
65.88235294,62.5,Granite Waste
66.05882353,0,Granite Waste
66.23529412,0,Granite Waste
66.41176471,0,Granite Waste
66.58823529,0,Granite Waste
66.76470588,0,Granite Waste
66.94117647,0,Granite Waste
67.11764706,0,Granite Waste
67.29411765,0,Granite Waste
67.47058824,0,Granite Waste
67.64705882,0,Granite Waste
67.82352941,62.5,Granite Waste
68,62.5,Granite Waste
68.17647059,62.5,Granite Waste
68.35294118,0,Granite Waste
68.52941176,0,Granite Waste
68.70588235,0,Granite Waste
68.88235294,0,Granite Waste
69.05882353,31.25,Granite Waste
69.23529412,62.5,Granite Waste
69.41176471,62.5,Granite Waste
69.58823529,62.5,Granite Waste
69.76470588,62.5,Granite Waste
69.94117647,62.5,Granite Waste
70.11764706,62.5,Granite Waste
70.29411765,62.5,Granite Waste
70.47058824,62.5,Granite Waste
70.64705882,62.5,Granite Waste
70.82352941,62.5,Granite Waste
71,62.5,Granite Waste
71.17647059,62.5,Granite Waste
71.35294118,62.5,Granite Waste
71.52941176,0,Granite Waste
71.70588235,0,Granite Waste
71.88235294,0,Granite Waste
72.05882353,0,Granite Waste
72.23529412,0,Granite Waste
72.41176471,0,Granite Waste
72.58823529,0,Granite Waste
72.76470588,0,Granite Waste
72.94117647,0,Granite Waste
73.11764706,0,Granite Waste
73.29411765,0,Granite Waste
73.47058824,0,Granite Waste
73.64705882,0,Granite Waste
73.82352941,0,Granite Waste
74,0,Granite Waste
74.17647059,0,Granite Waste
74.35294118,0,Granite Waste
74.52941176,0,Granite Waste
74.70588235,0,Granite Waste
74.88235294,0,Granite Waste
75.05882353,0,Granite Waste
75.23529412,0,Granite Waste
75.41176471,0,Granite Waste
75.58823529,0,Granite Waste
75.76470588,0,Granite Waste
75.94117647,0,Granite Waste
76.11764706,0,Granite Waste
76.29411765,0,Granite Waste
76.47058824,0,Granite Waste
76.64705882,0,Granite Waste
76.82352941,0,Granite Waste
77,0,Granite Waste
77.17647059,0,Granite Waste
77.35294118,0,Granite Waste
77.52941176,0,Granite Waste
77.70588235,0,Granite Waste
77.88235294,0,Granite Waste
78.05882353,0,Granite Waste
78.23529412,0,Granite Waste
78.41176471,0,Granite Waste
78.58823529,0,Granite Waste
78.76470588,0,Granite Waste
78.94117647,0,Granite Waste
79.11764706,0,Granite Waste
79.29411765,0,Granite Waste
79.47058824,0,Granite Waste
79.64705882,0,Granite Waste
79.82352941,0,Granite Waste
80,0,Granite Waste
80.17647059,0,Granite Waste
80.35294118,0,Granite Waste
80.52941176,0,Granite Waste
80.70588235,0,Granite Waste
16.47058824,50,Metakaolin
16.64705882,50,Metakaolin
16.82352941,50,Metakaolin
17,50,Metakaolin
17.17647059,50,Metakaolin
17.35294118,50,Metakaolin
17.52941176,0,Metakaolin
17.70588235,0,Metakaolin
17.88235294,0,Metakaolin
18.05882353,50,Metakaolin
18.23529412,50,Metakaolin
18.41176471,50,Metakaolin
18.58823529,50,Metakaolin
18.76470588,50,Metakaolin
18.94117647,50,Metakaolin
19.11764706,50,Metakaolin
19.29411765,50,Metakaolin
19.47058824,50,Metakaolin
19.64705882,50,Metakaolin
19.82352941,50,Metakaolin
20,50,Metakaolin
20.17647059,100,Metakaolin
20.35294118,75,Metakaolin
20.52941176,50,Metakaolin
20.70588235,100,Metakaolin
20.88235294,50,Metakaolin
21.05882353,100,Metakaolin
21.23529412,100,Metakaolin
21.41176471,150,Metakaolin
21.58823529,150,Metakaolin
21.76470588,150,Metakaolin
21.94117647,150,Metakaolin
22.11764706,150,Metakaolin
22.29411765,200,Metakaolin
22.47058824,175,Metakaolin
22.64705882,150,Metakaolin
22.82352941,200,Metakaolin
23,200,Metakaolin
23.17647059,225,Metakaolin
23.35294118,200,Metakaolin
23.52941176,200,Metakaolin
23.70588235,175,Metakaolin
23.88235294,150,Metakaolin
24.05882353,200,Metakaolin
24.23529412,250,Metakaolin
24.41176471,300,Metakaolin
24.58823529,275,Metakaolin
24.76470588,200,Metakaolin
24.94117647,250,Metakaolin
25.11764706,225,Metakaolin
25.29411765,250,Metakaolin
25.47058824,275,Metakaolin
25.64705882,300,Metakaolin
25.82352941,300,Metakaolin
26,350,Metakaolin
26.17647059,400,Metakaolin
26.35294118,525,Metakaolin
26.52941176,675,Metakaolin
26.70588235,725,Metakaolin
26.88235294,925,Metakaolin
27.05882353,1000,Metakaolin
27.23529412,850,Metakaolin
27.41176471,775,Metakaolin
27.58823529,650,Metakaolin
27.76470588,550,Metakaolin
27.94117647,475,Metakaolin
28.11764706,400,Metakaolin
28.29411765,300,Metakaolin
28.47058824,300,Metakaolin
28.64705882,325,Metakaolin
28.82352941,300,Metakaolin
29,250,Metakaolin
29.17647059,200,Metakaolin
29.35294118,150,Metakaolin
29.52941176,150,Metakaolin
29.70588235,150,Metakaolin
29.88235294,100,Metakaolin
30.05882353,100,Metakaolin
30.23529412,100,Metakaolin
30.41176471,75,Metakaolin
30.58823529,75,Metakaolin
30.76470588,75,Metakaolin
30.94117647,75,Metakaolin
31.11764706,25,Metakaolin
31.29411765,25,Metakaolin
31.47058824,25,Metakaolin
31.64705882,50,Metakaolin
31.82352941,50,Metakaolin
32,50,Metakaolin
32.17647059,50,Metakaolin
32.35294118,50,Metakaolin
32.52941176,75,Metakaolin
32.70588235,75,Metakaolin
32.88235294,25,Metakaolin
33.05882353,25,Metakaolin
33.23529412,75,Metakaolin
33.41176471,100,Metakaolin
33.58823529,100,Metakaolin
33.76470588,100,Metakaolin
33.94117647,100,Metakaolin
34.11764706,100,Metakaolin
